email,rec,elen,attch,slen,spam
eli302@outlook.com,10,235,1,35,1
eli194@outlook.com,3,211,1,19,0
eli415@me.com,17,232,1,69,1
eli105@aws.com,5,175,0,14,0
eli40@aws.com,5,67,1,10,0
efi16@me.com,1,214,1,14,0
efi38@google.com,1,85,1,10,0
david307@me.com,3,236,1,18,0
efi136@gmail.com,5,186,0,14,0
tamar63@me.com,3,135,1,20,0
david401@me.com,1,116,1,10,0
david60@aws.com,3,107,1,10,0
efi422@gmail.com,6,133,1,16,0
eli369@google.com,2,184,0,19,0
eli80@me.com,3,125,0,10,0
tamar421@outlook.com,2,6,1,11,1
eli240@gmail.com,24,79,1,18,1
david63@gmail.com,5,76,0,18,0
eli216@aws.com,2,59,1,14,0
eli456@gmail.com,2,174,0,12,0
avi332@outlook.com,17,143,0,60,1
tamar168@me.com,5,143,1,20,0
avi71@google.com,2,218,1,14,0
david216@aws.com,1,29,0,14,1
eli246@google.com,2,841,0,11,1
efi325@gmail.com,1,22,0,12,1
tamar104@me.com,6,224,0,13,0
efi314@outlook.com,4,121,0,11,0
eli407@aws.com,2,107,1,16,0
tamar370@aws.com,2,77,1,10,0
david194@google.com,4,78,0,16,0
avi100@outlook.com,21,52,0,36,1
eli347@gmail.com,1,242,0,20,0
efi166@google.com,12,172,1,15,1
eli75@gmail.com,15,85,1,45,1
david133@gmail.com,3,12,1,20,1
eli344@gmail.com,4,114,0,11,0
david294@gmail.com,6,204,0,13,0
eli267@gmail.com,6,170,1,15,0
david297@aws.com,3,181,0,11,0
tamar447@google.com,5,52,1,11,0
tamar156@google.com,3,19,0,14,1
avi11@gmail.com,5,155,0,14,0
eli48@aws.com,2,68,1,13,0
avi270@google.com,23,150,1,57,1
eli313@outlook.com,1,2,1,19,1
efi362@gmail.com,6,102,1,10,0
efi332@aws.com,4,114,1,17,0
tamar276@google.com,11,232,1,64,1
tamar100@outlook.com,6,62,0,20,0
eli10@google.com,3,124,0,12,0
tamar255@gmail.com,4,91,0,12,0
efi289@outlook.com,2,176,0,11,0
david441@me.com,2,30,0,18,1
tamar430@me.com,2,80,0,15,0
efi42@google.com,6,94,1,15,0
david395@me.com,2,465,0,18,1
david130@google.com,4,189,1,11,0
avi324@me.com,3,21,0,18,1
