Name,Age,Country,Height,Weight,Avg Grades,income,house rooms,family persons
dina,10,ISR,110,26,64,10000,6,8
noya,6,SP,90,27,68,18200,6,5
itamar,7,EN,110,30,71,27000,2,5
adar,8,SP,113,30,70,16700,7,6
rina,7,EN,100,31,73,30000,2,5
yosi,8,SP,110,32,74,22000,5,6
efrat,7,EN,115,33,75,8000,5,5
ofer,6,SP,110,34,71,9300,4,8
evyatar,8,ISR,110,34,72,7600,3,4
yoav,7,EN,120,36,74,17300,5,8
orit,12,US,123,40,78,18900,3,7
moshe,9,GR,128,43,80,42000,6,5
ester,8,ISR,130,48,79,19600,2,4
mia,9,GR,132,49,82,12800,4,5
tomer,10,FR,128,53,82,45000,5,4
michal,12,US,132,53,79,20400,5,7
liel,12,ISR,142,55,84,24000,2,7
udi,10,FR,147,55,85,35000,7,6
avi,12,ISR,143,58,82,12000,3,7
shely,10,ISR,148,60,86,8000,4,3
eli,15,GR,155,61,84,8900,7,10
ohad,16,ISR,159,64,83,12700,4,8
ehud,14,ISR,155,66,85,18000,2,7
talya,16,FR,167,67,89,10900,6,6
omer,15,US,162,68,87,34500,6,8
dani,15,US,160,70,90,15000,4,4
agam,15,GR,172,71,92,9200,5,4
orit,17,ISR,175,73,89,54100,4,3
lilach,17,ISR,192,88,94,23000,5,6
yafit,16,FR,180,90,93,12800,2,4
